,Cluster 0,Cluster 1,Cluster 2
person_age - mean,24.493341964120585,34.16525559961419,24.93969957081545
person_age - std,2.551622224261651,6.510994707078533,2.902761323774431
person_age - min,20.0,24.0,20.0
person_age - max,37.0,80.0,40.0
person_age - count,10814.0,9331.0,9320.0
person_income - mean,58156.93083040503,83558.98210266852,57585.327360515024
person_income - std,32608.111698731373,96843.71612337485,32257.836707989627
person_income - min,4080.0,4000.0,4200.0
person_income - max,425000.0,6000000.0,500000.0
person_income - count,10814.0,9331.0,9320.0
person_emp_length - mean,4.009987053819123,6.153466938163112,4.240128755364807
person_emp_length - std,3.010676790017277,5.169187249606573,3.224620116368973
person_emp_length - min,0.0,0.0,0.0
person_emp_length - max,17.0,41.0,50.0
person_emp_length - count,10814.0,9331.0,9320.0
loan_amnt - mean,5209.251895690772,10054.217125709998,14191.60407725322
loan_amnt - std,2753.1731245180567,6123.777293852677,6011.239544428824
loan_amnt - min,500.0,1000.0,1800.0
loan_amnt - max,20000.0,35000.0,35000.0
loan_amnt - count,10814.0,9331.0,9320.0
loan_int_rate - mean,10.254583872757538,10.930972028721465,11.970989270386266
loan_int_rate - std,3.0997164376210837,3.2404643469225594,3.1537513670641277
loan_int_rate - min,5.42,5.42,5.42
loan_int_rate - max,22.06,23.22,22.11
loan_int_rate - count,10814.0,9331.0,9320.0
loan_percent_income - mean,0.10174218605511375,0.14572500267924124,0.2738508583690987
loan_percent_income - std,0.0503379655471864,0.0822853961906119,0.09805561813912593
loan_percent_income - min,0.01,0.0,0.06
loan_percent_income - max,0.35,0.59,0.83
loan_percent_income - count,10814.0,9331.0,9320.0
cb_person_cred_hist_length - mean,3.5969114111337155,10.173078984031722,3.9408798283261803
cb_person_cred_hist_length - std,1.6719802825979957,3.9883737447273098,1.998293745438349
cb_person_cred_hist_length - min,2.0,3.0,2.0
cb_person_cred_hist_length - max,13.0,30.0,16.0
cb_person_cred_hist_length - count,10814.0,9331.0,9320.0
