person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,outlier_source
144,250000,RENT,4.0,VENTURE,C,4800,13.569999694824219,False,0.019999999552965164,False,3,person_age
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.859999656677246,False,0.029999999329447746,False,2,person_age
123,80004,RENT,2.0,EDUCATION,B,20400,10.25,False,0.25,False,3,person_age
123,78000,RENT,7.0,VENTURE,B,20000,,False,0.25999999046325684,False,4,person_age
20,64000,RENT,3.0,VENTURE,D,16000,15.3100004196167,True,0.25,True,4,person_age
20,32652,MORTGAGE,0.0,PERSONAL,D,6000,14.609999656677246,True,0.18000000715255737,False,4,person_age
20,94000,RENT,4.0,EDUCATION,D,5000,16.020000457763672,False,0.05000000074505806,False,3,person_age
20,42000,RENT,4.0,VENTURE,B,6500,11.710000038146973,False,0.15000000596046448,False,2,person_age
20,34800,RENT,3.0,MEDICAL,C,7000,13.609999656677246,False,0.20000000298023224,True,2,person_age
20,65000,MORTGAGE,4.0,EDUCATION,B,4800,9.989999771118164,False,0.07000000029802322,False,2,person_age
20,77000,MORTGAGE,4.0,VENTURE,A,6000,8.0,False,0.07999999821186066,False,2,person_age
20,77052,MORTGAGE,4.0,EDUCATION,B,24250,11.359999656677246,False,0.3100000023841858,False,2,person_age
20,85920,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,8.489999771118164,False,0.14000000059604645,False,2,person_age
20,98000,MORTGAGE,4.0,EDUCATION,D,24250,,False,0.25,False,4,person_age
20,115731,MORTGAGE,4.0,DEBTCONSOLIDATION,B,9625,10.739999771118164,False,0.07999999821186066,False,3,person_age
20,135000,MORTGAGE,1.0,VENTURE,C,15000,15.960000038146973,False,0.10999999940395355,True,2,person_age
20,188004,MORTGAGE,4.0,EDUCATION,A,2000,8.59000015258789,False,0.009999999776482582,False,4,person_age
20,188004,MORTGAGE,4.0,PERSONAL,A,2000,8.59000015258789,False,0.009999999776482582,False,2,person_age
20,65000,MORTGAGE,4.0,VENTURE,B,4800,9.989999771118164,False,0.07000000029802322,False,4,person_age
144,6000000,MORTGAGE,12.0,PERSONAL,C,5000,12.729999542236328,False,,False,25,person_age
78,48000,RENT,41.0,MEDICAL,A,3000,7.510000228881836,False,0.05999999865889549,False,25,person_age
73,42000,MORTGAGE,7.0,PERSONAL,A,5000,7.489999771118164,False,0.11999999731779099,False,28,person_age
94,24000,RENT,1.0,MEDICAL,C,6500,,False,0.27000001072883606,False,27,person_age
80,64000,RENT,7.0,MEDICAL,B,6800,11.710000038146973,False,0.10999999940395355,False,25,person_age
73,75000,RENT,0.0,MEDICAL,A,7800,,False,0.10000000149011612,False,24,person_age
84,94800,MORTGAGE,2.0,PERSONAL,A,10000,7.510000228881836,False,0.10999999940395355,False,24,person_age
73,39240,RENT,0.0,MEDICAL,B,1800,12.529999732971191,False,0.05000000074505806,False,21,person_age
76,75000,RENT,23.0,MEDICAL,A,15000,8.9399995803833,False,0.20000000298023224,False,25,person_age
67,200000,MORTGAGE,2.0,PERSONAL,C,3000,10.279999732971191,False,0.009999999776482582,False,26,person_age
