B1,B2,B3,C1,C2,S1,S2,S3,S4,S5
7.760595675189998e-05,2.029531205379288e-05,4.92292828916016e-05,-4.709316448704836e-06,8.394707089386247e-06,4.580083797365666e-06,-3.651244320788401e-06,2.172754834877871e-06,-4.968267698814152e-06,9.504258875263823e-06
2.029531205379288e-05,0.0006275643009735691,2.5547373231530373e-05,-5.957756161861063e-06,1.8224940851872475e-05,-1.8787110763692812e-05,-2.9530754964985906e-05,-4.3906257155745174e-05,-6.791792638990961e-05,2.2322366698148464e-05
4.92292828916016e-05,2.5547373231530373e-05,0.00010613346873694608,-5.55540541816188e-06,9.172974571685884e-06,-1.101182017364729e-05,-4.161370672256534e-05,-1.4692114531778732e-05,-8.878299938681865e-06,5.143869290865615e-05
-4.709316448704836e-06,-5.957756161861063e-06,-5.55540541816188e-06,3.824183369003562e-05,1.2186002300701459e-05,1.0989793053470492e-05,2.2513945125217932e-05,2.573138560471189e-05,4.584792229504444e-06,-8.157767303149505e-06
8.394707089386247e-06,1.8224940851872475e-05,9.172974571685884e-06,1.2186002300701459e-05,6.026204714990101e-05,4.648657709385492e-06,3.85941497079785e-06,1.0836629676431838e-05,-1.1011194489082322e-05,-4.57016073262758e-06
4.580083797365666e-06,-1.8787110763692812e-05,-1.101182017364729e-05,1.0989793053470492e-05,4.648657709385492e-06,0.00014862292104608277,0.00025645103413527077,7.110321160090287e-05,1.837675925196337e-05,-4.105148828014965e-05
-3.651244320788401e-06,-2.9530754964985906e-05,-4.161370672256534e-05,2.2513945125217932e-05,3.85941497079785e-06,0.00025645103413527077,0.0006678384852219089,0.00011200361568047437,2.6382032774206393e-05,-8.784353046990668e-05
2.172754834877871e-06,-4.3906257155745174e-05,-1.4692114531778732e-05,2.573138560471189e-05,1.0836629676431838e-05,7.110321160090287e-05,0.00011200361568047437,0.0002419382974380566,5.699272127039688e-05,-5.1974992661176586e-05
-4.968267698814152e-06,-6.791792638990961e-05,-8.878299938681865e-06,4.584792229504444e-06,-1.1011194489082322e-05,1.837675925196337e-05,2.6382032774206393e-05,5.699272127039688e-05,0.0002381950268962891,-2.7704298005587944e-05
9.504258875263823e-06,2.2322366698148464e-05,5.143869290865615e-05,-8.157767303149505e-06,-4.57016073262758e-06,-4.105148828014965e-05,-8.784353046990668e-05,-5.1974992661176586e-05,-2.7704298005587944e-05,0.001452748144126753
